Date,Open,High,Low,Close,Volume
5/17/2024,336.0633412,340.8837144,335.6024175,337.2060242,186892
5/20/2024,338.8672044,339.8274402,327.1139277,330.7052002,241655
5/21/2024,332.2415779,333.8739904,328.4966643,330.647583,195994
5/22/2024,330.1194445,332.2223631,322.6392001,325.9424133,213276
5/23/2024,326.4801423,326.4801423,322.6391995,324.3388062,165590
5/24/2024,325.9040201,330.2250812,322.7352537,325.2414551,266168
5/27/2024,327.4307905,327.4307905,322.4471644,323.3017883,411150
5/28/2024,323.3017883,323.3017883,323.3017883,323.3017883,0
5/29/2024,323.5034129,325.2318548,316.8777922,318.3181458,668285
5/30/2024,320.709139,320.709139,313.7570413,314.6308594,387926
5/31/2024,314.7172594,326.4801471,314.6308417,322.7832336,563402
6/3/2024,322.1494964,324.5500859,317.7420177,318.846283,255656
6/4/2024,319.7393358,320.709154,313.9010855,314.7845154,315903
6/5/2024,314.7844793,317.3579039,310.473001,313.4497375,244000
6/6/2024,311.6157156,317.3579363,311.6157156,314.7460938,132107
6/7/2024,313.9970772,318.7982558,304.586779,313.1136475,262081
6/10/2024,315.4374618,315.4374618,308.2356933,311.1836243,124360
6/11/2024,313.0272272,313.0272272,303.4440936,306.9873657,403643
6/12/2024,309.1959106,312.0766179,304.8748498,310.031311,258913
6/13/2024,310.1561625,321.6597979,310.1561625,318.2125549,571874
6/14/2024,322.5239785,326.9602629,316.8777878,321.1604309,283340
6/20/2024,316.8778198,328.362232,316.8778198,324.0603943,221355
6/21/2024,326.2977301,327.920531,315.0629593,317.6364136,413567
6/24/2024,317.9820954,321.7942329,315.447088,316.7914124,497287
6/25/2024,318.6926816,324.5500966,318.6542639,323.4458313,359452
6/26/2024,322.7544249,328.3045862,322.7064249,323.7146606,265174
6/27/2024,324.5597031,326.470563,318.3181704,318.9039001,151427
6/28/2024,317.9340759,321.5829602,317.9340759,319.4800415,156302
7/1/2024,320.7187646,322.1591183,315.4374676,316.061615,251278
7/2/2024,316.0712067,320.2386264,316.0712067,317.1274719,991298
7/3/2024,319.6624758,320.0945936,316.877798,317.7324219,290312
7/4/2024,318.0781,320.1906305,315.9079578,317.1754761,315784
7/5/2024,317.1754905,319.2784093,312.0766407,314.7557068,332743
7/8/2024,314.9573141,316.6857267,313.2865133,314.0834961,56393
7/9/2024,314.9573141,316.3976677,313.0368427,314.0834961,190989
7/10/2024,315.907976,316.3688997,312.0766444,312.2302856,220517
7/11/2024,313.997097,313.997097,310.5018247,312.9984436,96615
7/12/2024,312.0766321,313.9971037,309.0998953,313.0656738,149778
7/15/2024,318.1548991,322.6392129,317.0218279,321.2756653,739891
7/16/2024,321.2756653,321.2756653,321.2756653,321.2756653,0
7/17/2024,321.2756653,321.2756653,321.2756653,321.2756653,0
7/18/2024,321.6789828,336.0825193,321.2948943,334.7958069,828421
7/19/2024,335.0742619,335.5063504,324.665281,327.2003174,473413
